WBRatio,OPC,PPC,DAYS,CO2,STRENGTH
0.44669485,266.65134,241.80138,34.106133,0.118665956,37.427876
0.457861,188.23091,249.35884,34.592575,0.10507755,41.906387
0.45138806,267.3587,236.35213,32.95748,0.10997214,38.23176
0.45695987,203.8922,243.68723,34.453194,0.09687702,39.777958
0.44695386,287.57834,213.33075,33.583973,0.11651324,41.189297
0.4537905,220.86436,249.45537,32.771698,0.09803047,39.78227
0.4337252,211.42563,234.26276,34.072376,0.099656984,42.89803
0.44764763,244.75516,237.97523,33.960377,0.114796445,41.07192
0.4474061,265.27008,233.39114,31.683264,0.1042494,39.686775
0.45311505,215.38577,256.94864,35.656322,0.10043673,38.88375
0.43698415,191.74474,259.67343,32.846912,0.09555983,39.779774
0.4490624,289.25415,304.66727,31.392822,0.09690965,39.550137
0.45133534,258.08066,261.74838,34.03109,0.11130665,38.20725
0.4423886,239.9853,266.45862,31.605854,0.09829949,40.67435
0.4350489,244.56212,234.19792,35.826645,0.10633679,42.6518
0.45038477,231.20006,216.17041,33.969296,0.09994335,38.1355
0.45830256,209.82687,228.59637,35.891888,0.103019044,38.468357
0.45084685,238.70161,267.13443,32.6687,0.103589036,40.24201
0.45085868,270.3997,241.9781,33.40492,0.10116235,42.41291
0.44338685,276.2606,279.61157,34.39632,0.11596169,40.655727
0.4413752,227.32864,266.078,32.553253,0.10257633,41.217815
0.4519176,227.6881,264.53552,31.63224,0.1105052,41.564774
0.447354,261.5084,279.40216,31.795427,0.10846102,37.165234
0.46448404,213.57388,265.09747,35.65123,0.114874385,39.93161
0.446591,223.40193,242.66528,35.305058,0.10662204,43.924973
0.44301635,278.51065,304.7433,34.539936,0.095287666,39.58363
0.44432148,233.89468,280.69925,34.39227,0.11076768,38.679592
0.4467361,207.62038,227.22318,33.128372,0.10598223,39.95437
0.459975,254.63516,230.33455,34.316658,0.12279246,39.928375
0.44433394,229.59576,243.79863,31.36422,0.10938676,40.745068
0.44334728,212.65892,276.1689,31.710161,0.096406326,41.90628
0.4509831,232.7821,275.3175,34.6235,0.10048206,41.73618
0.4496974,193.93091,295.52258,30.757246,0.100890085,39.102356
0.44064912,282.20306,271.85748,31.300507,0.104384944,39.53673
0.44173446,208.55682,259.0506,34.195786,0.09485819,39.293533
0.45700985,248.94286,279.52832,33.39086,0.0896172,38.69486
0.45835334,219.79315,228.02722,35.71195,0.10003345,41.358982
0.44097313,256.1847,255.82826,31.835392,0.09813242,40.794754
0.4377687,230.44733,263.55005,34.01996,0.09703092,41.180916
0.46567735,250.58365,227.12852,34.889103,0.11334286,37.6193
0.4416731,221.78043,274.00076,32.126472,0.09784028,41.640842
0.45495552,236.70624,267.4996,37.881413,0.109515786,40.015392
0.44996905,227.49496,265.12747,37.468254,0.10109131,40.438576
0.44965783,260.657,262.31985,33.619232,0.11355934,40.11332
0.44946346,257.61133,265.9954,33.1902,0.10654976,40.17949
0.44783288,218.43436,224.18758,32.513725,0.09983712,39.21832
0.456845,239.63608,243.97926,33.44668,0.109630525,37.500206
0.44290352,246.86711,256.43784,33.537407,0.09598221,41.612022
0.4411273,221.42981,210.1218,34.89658,0.11988108,40.27655
0.4461483,251.71793,239.92897,32.81326,0.10793571,39.647404
0.45943388,185.76843,271.07388,32.9766,0.09469614,37.367256
0.45129806,180.8124,243.07784,35.308666,0.08882772,40.279835
0.4533019,227.47295,261.01773,31.576906,0.112939194,39.281307
0.4401934,265.67465,265.6639,33.329914,0.103128865,45.365753
0.4571735,276.23743,262.91205,32.159424,0.10697331,39.12845
0.4495674,324.40002,283.961,33.60402,0.1111203,39.665337
0.44684458,222.75183,238.89476,33.020073,0.101940915,39.685318
0.44800544,225.34193,263.50177,32.830326,0.09655386,39.63126
0.43486562,232.04141,222.90813,33.669987,0.09895913,43.541725
0.45220715,238.53368,252.80368,37.064045,0.11279132,41.14035
0.44792333,300.89243,275.18488,31.662142,0.102358535,41.36708
0.44151774,245.1972,256.4757,32.361755,0.10416541,40.746372
0.4476828,253.45561,272.6149,32.17324,0.09091302,40.590473
0.4330271,233.81499,234.32921,36.89786,0.09286346,44.30609
0.45155787,246.86507,250.25099,32.695072,0.11267769,37.80859
0.4475387,268.9575,248.33665,33.672672,0.105414964,40.184563
0.4387483,234.4338,262.9128,31.813797,0.10649426,40.12698
0.4458162,253.61478,271.13156,33.33583,0.11130965,40.006752
0.4529756,236.96872,239.35179,30.48563,0.10529907,39.20514
0.44655928,252.21956,254.82272,31.250885,0.10020311,41.459473
0.4393065,243.48068,244.39244,31.142527,0.101970255,42.538498
0.45718408,208.75537,262.42584,32.055748,0.104202904,39.7689
0.43768376,255.50568,272.30966,33.61026,0.11049531,39.18916
0.45672503,251.89334,229.04373,32.589195,0.11058809,41.411804
0.4614362,185.82353,279.16556,32.71852,0.11120262,40.06215
0.45382196,237.45035,282.90494,33.93589,0.09213867,38.838802
0.45098123,252.87534,247.81866,35.72045,0.11915193,40.87553
0.44716316,202.74564,250.0816,34.16648,0.09474395,39.59033
0.44212118,179.93507,221.44081,34.49055,0.102098644,43.136448
0.42796174,243.09573,279.06323,31.69319,0.09990373,39.393692
0.44709048,283.17392,247.81554,32.213665,0.102840185,41.617943
0.4510166,216.00078,263.1127,32.57066,0.10051839,39.09658
0.4485159,276.3161,268.1451,33.500145,0.109045014,38.827297
0.45356268,247.98361,255.14087,33.117252,0.09338815,41.70846
0.44566384,230.86304,245.57765,33.28534,0.10861547,41.724148
0.44492427,269.11044,214.74086,31.573,0.11118539,42.57764
0.4442323,246.48405,224.68733,33.178543,0.10969132,40.849854
0.4526781,226.09387,232.8501,31.635962,0.105727576,38.060513
0.4425153,177.7442,213.4193,36.907604,0.10553572,40.74666
0.43408895,207.2719,215.52596,37.11634,0.12515672,39.282475
0.4548983,241.66933,234.48991,32.454212,0.09361024,38.801422
0.45694885,217.5381,261.6272,35.031693,0.11792989,39.505398
0.45381737,208.74316,240.06787,32.619854,0.10060127,39.491737
0.44050488,301.45645,309.1325,35.436195,0.10943395,41.50966
0.4406344,238.616,259.57428,32.042244,0.093645506,41.05858
0.4622129,188.60884,231.52339,37.743336,0.104953244,39.993988
0.43176204,199.00772,296.9029,32.88523,0.09090634,40.457226
0.4245716,224.9214,246.23396,31.504719,0.09103499,43.578205
0.44089875,229.5905,269.64432,32.38465,0.099662974,37.43539
0.4446753,226.97986,267.0454,33.601135,0.10218494,41.431297
0.4476295,257.7859,304.128,32.825397,0.087141,39.83783
0.44375294,221.8689,258.05377,32.82826,0.102721915,40.81818
0.42935854,261.70618,230.125,33.716927,0.10535403,42.407566
0.44009057,244.43813,298.80054,31.69293,0.09941649,38.3549
0.45421138,206.41049,208.88483,32.5848,0.109535754,40.363716
0.44428644,268.2963,282.5896,32.172592,0.11317344,39.64584
0.45332402,240.3835,221.61435,34.397938,0.10854807,38.17159
0.44439524,238.194,295.06308,33.764935,0.09801533,39.627556
0.42430457,223.23665,196.84218,33.152527,0.12703252,43.758785
0.44310397,272.16714,259.21332,32.96978,0.10352938,41.06973
0.43767515,273.7866,278.53183,33.795147,0.10775485,41.843834
0.44658956,241.28098,253.19272,31.694443,0.10581677,39.31734
0.4484083,234.40144,235.8588,34.827225,0.10680987,43.06177
0.43714294,203.38878,220.34183,31.794046,0.096296206,42.307938
