WBRatio,OPC,PPC,DAYS,CO2,STRENGTH
0.45,400,0,7,0.0,22.57
0.45,400,0,7,0.0,29.51
0.45,400,0,7,0.0,20.66
0.45,400,0,7,0.05,25.3
0.45,400,0,7,0.05,24.03
0.45,400,0,7,0.05,31.15
0.45,400,0,7,0.1,36.6
0.45,400,0,7,0.1,27.46
0.45,400,0,7,0.1,27.95
0.45,400,0,7,0.15,24.44
0.45,400,0,7,0.15,24.89
0.45,400,0,7,0.15,30.16
0.45,400,0,7,0.2,29.04
0.45,400,0,7,0.2,24.36
0.45,400,0,7,0.2,20.99
0.45,400,0,28,0.0,34.2
0.45,400,0,28,0.0,42.26
0.45,400,0,28,0.0,36.41
0.45,400,0,28,0.05,40.97
0.45,400,0,28,0.05,38.68
0.45,400,0,28,0.05,37.34
0.45,400,0,28,0.1,43.53
0.45,400,0,28,0.1,38.88
0.45,400,0,28,0.1,41.33
0.45,400,0,28,0.15,39.64
0.45,400,0,28,0.15,33.03
0.45,400,0,28,0.15,37.95
0.45,400,0,28,0.2,41.16
0.45,400,0,28,0.2,30.31
0.45,400,0,28,0.2,33.52
0.45,400,0,56,0.0,42.39
0.45,400,0,56,0.0,36.33
0.45,400,0,56,0.0,38.64
0.45,400,0,56,0.05,47.34
0.45,400,0,56,0.05,43.85
0.45,400,0,56,0.05,43.62
0.45,400,0,56,0.1,53.01
0.45,400,0,56,0.1,48.23
0.45,400,0,56,0.1,50.5
0.45,400,0,56,0.15,43.36
0.45,400,0,56,0.15,42.48
0.45,400,0,56,0.15,40.63
0.45,400,0,56,0.2,32.54
0.45,400,0,56,0.2,38.31
0.45,400,0,56,0.2,39.02
0.45,0,400,7,0.0,27.89
0.45,0,400,7,0.0,21.93
0.45,0,400,7,0.0,21.56
0.45,0,400,7,0.05,30.56
0.45,0,400,7,0.05,25.35
0.45,0,400,7,0.05,29.83
0.45,0,400,7,0.1,24.83
0.45,0,400,7,0.1,25.92
0.45,0,400,7,0.1,22.0
