WBRatio,OPC,PPC,DAYS,CO2,STRENGTH,source,cluster
0.43,350,0,7,0.0,24.96,synthetic,0
0.44,500,0,56,0.0,38.48,synthetic,0
0.43,350,0,28,0.14,33.95,synthetic,0
0.35,0,400,56,0.13,63.12,synthetic,1
0.54,350,0,28,0.03,50.54,synthetic,0
0.35,0,500,28,0.18,52.81,synthetic,1
0.53,500,0,7,0.13,41.01,synthetic,0
0.42,0,350,28,0.05,53.47,synthetic,1
0.35,0,350,56,0.15,47.39,synthetic,1
0.52,0,500,28,0.07,24.44,synthetic,1
0.53,0,350,28,0.2,49.62,synthetic,1
0.55,350,0,56,0.15,37.99,synthetic,0
0.35,0,500,28,0.2,47.0,synthetic,1
0.55,0,350,28,0.13,58.14,synthetic,1
0.43,500,0,56,0.03,13.56,synthetic,0
0.35,0,400,7,0.1,49.99,synthetic,1
0.52,350,0,28,0.06,45.07,synthetic,0
0.35,0,400,56,0.02,53.2,synthetic,1
0.54,0,500,28,0.17,25.03,synthetic,1
0.35,0,350,7,0.11,24.58,synthetic,1
0.44,0,400,7,0.02,45.84,synthetic,1
0.35,0,350,56,0.0,47.8,synthetic,1
0.51,0,350,56,0.14,42.41,synthetic,1
0.35,400,0,7,0.09,39.28,synthetic,0
0.52,400,0,56,0.03,23.81,synthetic,0
0.35,350,0,28,0.0,35.36,synthetic,0
0.35,0,500,56,0.09,63.12,synthetic,1
0.51,400,0,28,0.02,28.87,synthetic,0
0.35,0,400,56,0.02,24.93,synthetic,1
0.52,0,400,7,0.15,14.47,synthetic,1
0.55,0,400,7,0.09,38.05,synthetic,1
0.35,0,500,56,0.12,34.72,synthetic,1
0.35,0,400,56,0.14,58.89,synthetic,1
0.35,350,0,7,0.08,34.89,synthetic,0
0.35,350,0,56,0.17,55.06,synthetic,0
0.46,350,0,28,0.07,55.1,synthetic,0
0.35,0,350,28,0.11,45.54,synthetic,1
0.42,0,500,56,0.2,26.15,synthetic,1
0.35,0,500,7,0.17,47.01,synthetic,1
0.44,500,0,7,0.04,28.0,synthetic,0
0.35,0,500,56,0.12,23.95,synthetic,1
0.35,500,0,7,0.03,35.3,synthetic,0
0.47,500,0,28,0.1,31.89,synthetic,0
0.36,500,0,56,0.14,46.81,synthetic,0
0.38,0,350,28,0.18,33.22,synthetic,1
0.47,0,350,28,0.04,43.72,synthetic,1
0.36,0,500,56,0.06,47.45,synthetic,1
0.35,0,350,56,0.04,51.69,synthetic,1
0.44,0,400,28,0.05,46.06,synthetic,1
0.45,350,0,56,0.01,47.1,synthetic,0
0.42,350,0,28,0.08,40.19,synthetic,0
0.55,350,0,56,0.1,26.23,synthetic,0
0.51,350,0,28,0.12,45.68,synthetic,0
0.35,0,400,56,0.05,34.3,synthetic,1
0.37,0,350,28,0.1,25.84,synthetic,1
0.35,500,0,7,0.14,55.76,synthetic,0
0.35,500,0,56,0.11,48.02,synthetic,0
0.35,500,0,56,0.17,44.91,synthetic,0
0.52,0,350,7,0.13,52.79,synthetic,1
0.53,0,350,56,0.04,29.29,synthetic,1
0.35,350,0,28,0.2,43.65,synthetic,0
0.35,0,350,28,0.03,41.45,synthetic,1
0.35,0,400,28,0.04,20.13,synthetic,1
0.53,0,500,7,0.01,36.89,synthetic,1
0.55,350,0,28,0.14,29.67,synthetic,0
0.35,400,0,28,0.04,45.44,synthetic,0
0.55,0,500,28,0.07,52.66,synthetic,1
0.55,0,500,56,0.07,39.27,synthetic,1
0.53,0,500,28,0.0,33.62,synthetic,1
0.55,350,0,28,0.16,23.29,synthetic,0
0.44,0,350,7,0.03,63.12,synthetic,1
0.35,500,0,7,0.02,59.72,synthetic,0
0.45,400,0,7,0.06,39.48,synthetic,0
0.5,0,350,7,0.18,19.5,synthetic,1
0.35,0,500,28,0.04,37.29,synthetic,1
0.5,0,400,56,0.02,44.19,synthetic,1
0.51,0,350,28,0.04,48.68,synthetic,1
0.52,0,500,7,0.15,40.87,synthetic,1
0.51,0,400,7,0.14,51.41,synthetic,1
0.45,0,400,28,0.03,50.86,synthetic,1
0.53,0,400,56,0.11,43.83,synthetic,1
0.35,0,350,7,0.06,47.23,synthetic,1
0.53,0,400,7,0.12,43.52,synthetic,1
0.5,0,500,7,0.18,42.99,synthetic,1
0.55,0,350,56,0.03,63.12,synthetic,1
0.37,0,500,7,0.17,47.83,synthetic,1
0.46,0,350,56,0.03,32.6,synthetic,1
0.36,0,400,7,0.13,53.44,synthetic,1
0.52,0,350,56,0.1,55.9,synthetic,1
0.35,400,0,7,0.19,55.09,synthetic,0
0.55,0,500,28,0.04,46.9,synthetic,1
0.52,500,0,7,0.0,24.44,synthetic,0
0.53,0,500,56,0.18,39.79,synthetic,1
0.47,400,0,56,0.07,36.9,synthetic,0
0.43,500,0,7,0.05,48.83,synthetic,0
0.54,500,0,28,0.03,47.54,synthetic,0
0.54,0,500,7,0.04,29.51,synthetic,1
0.52,0,400,7,0.0,52.72,synthetic,1
0.45,0,500,28,0.09,63.12,synthetic,1
0.51,0,350,28,0.15,36.63,synthetic,1
0.53,500,0,56,0.03,35.72,synthetic,0
0.35,400,0,7,0.05,48.17,synthetic,0
0.43,0,350,28,0.03,50.74,synthetic,1
0.52,0,400,56,0.04,26.37,synthetic,1
0.42,0,500,56,0.15,51.32,synthetic,1
0.35,0,400,7,0.05,54.71,synthetic,1
0.52,0,400,28,0.03,45.99,synthetic,1
0.46,0,350,56,0.2,38.9,synthetic,1
0.52,0,350,7,0.0,48.61,synthetic,1
0.35,0,350,56,0.04,46.9,synthetic,1
0.52,350,0,7,0.06,42.25,synthetic,0
0.45,0,400,28,0.13,35.28,synthetic,1
0.5,0,350,28,0.09,40.85,synthetic,1
0.38,350,0,56,0.18,13.56,synthetic,0
0.51,350,0,56,0.09,38.31,synthetic,0
0.39,0,400,28,0.18,37.76,synthetic,1
0.35,0,350,56,0.0,33.98,synthetic,1
0.35,350,0,28,0.2,27.36,synthetic,0
0.35,0,500,28,0.03,33.37,synthetic,1
0.42,400,0,7,0.03,41.81,synthetic,0
0.35,0,500,56,0.16,42.23,synthetic,1
0.37,0,400,56,0.14,63.12,synthetic,1
0.53,400,0,56,0.2,13.77,synthetic,0
0.52,500,0,7,0.0,54.22,synthetic,0
0.55,0,400,7,0.02,35.91,synthetic,1
0.55,350,0,28,0.2,63.12,synthetic,0
0.52,500,0,28,0.08,29.6,synthetic,0
0.53,500,0,7,0.0,40.7,synthetic,0
0.43,350,0,56,0.02,31.04,synthetic,0
0.35,0,500,28,0.13,46.89,synthetic,1
0.54,0,350,28,0.04,63.12,synthetic,1
0.51,400,0,56,0.2,37.13,synthetic,0
0.35,500,0,56,0.0,29.48,synthetic,0
0.45,0,350,56,0.17,18.09,synthetic,1
0.45,0,350,56,0.03,26.32,synthetic,1
0.35,0,400,7,0.07,40.86,synthetic,1
0.35,350,0,56,0.18,43.54,synthetic,0
0.45,500,0,7,0.17,31.36,synthetic,0
0.35,400,0,28,0.11,31.45,synthetic,0
0.44,0,500,7,0.16,47.36,synthetic,1
0.54,500,0,56,0.14,50.11,synthetic,0
0.55,0,350,7,0.07,45.86,synthetic,1
0.35,0,350,28,0.03,21.72,synthetic,1
0.35,0,400,7,0.03,46.61,synthetic,1
0.35,400,0,7,0.04,34.28,synthetic,0
0.52,0,500,7,0.06,24.1,synthetic,1
0.46,350,0,56,0.1,63.12,synthetic,0
0.35,400,0,7,0.03,38.63,synthetic,0
0.45,0,350,56,0.14,28.62,synthetic,1
0.52,400,0,7,0.06,63.12,synthetic,0
0.37,0,350,28,0.05,29.94,synthetic,1
0.52,0,350,56,0.15,41.99,synthetic,1
0.54,400,0,7,0.05,42.78,synthetic,0
0.38,500,0,56,0.06,38.38,synthetic,0
0.44,400,0,56,0.17,40.21,synthetic,0
0.43,500,0,56,0.01,42.61,synthetic,0
0.35,0,400,7,0.03,44.09,synthetic,1
0.55,400,0,28,0.06,33.41,synthetic,0
0.52,350,0,56,0.13,24.23,synthetic,0
0.52,0,500,7,0.2,46.19,synthetic,1
0.35,400,0,56,0.0,33.41,synthetic,0
0.35,350,0,7,0.02,13.56,synthetic,0
0.43,0,400,7,0.04,18.35,synthetic,1
0.47,0,500,28,0.2,46.8,synthetic,1
0.43,0,500,56,0.09,23.69,synthetic,1
0.45,350,0,28,0.2,35.35,synthetic,0
0.36,500,0,28,0.13,30.16,synthetic,0
0.35,0,400,28,0.05,49.17,synthetic,1
0.35,400,0,7,0.13,46.11,synthetic,0
0.35,500,0,56,0.06,23.6,synthetic,0
0.53,0,500,28,0.06,47.89,synthetic,1
0.5,0,400,28,0.05,44.63,synthetic,1
0.35,350,0,7,0.02,63.12,synthetic,0
0.55,350,0,56,0.03,38.34,synthetic,0
0.35,500,0,56,0.05,52.27,synthetic,0
0.38,500,0,7,0.0,50.28,synthetic,0
0.36,0,500,56,0.05,52.89,synthetic,1
0.45,350,0,7,0.06,23.32,synthetic,0
0.35,350,0,56,0.17,29.77,synthetic,0
0.38,0,400,56,0.01,53.01,synthetic,1
0.35,0,350,7,0.14,39.96,synthetic,1
0.43,0,400,28,0.14,35.38,synthetic,1
0.35,500,0,7,0.09,33.76,synthetic,0
0.35,500,0,28,0.13,63.12,synthetic,0
0.51,0,350,28,0.2,48.61,synthetic,1
0.36,400,0,7,0.0,31.14,synthetic,0
0.52,0,350,7,0.16,24.97,synthetic,1
0.51,350,0,7,0.11,29.03,synthetic,0
0.45,0,500,7,0.0,41.8,synthetic,1
0.52,500,0,56,0.15,58.32,synthetic,0
0.35,500,0,7,0.0,41.68,synthetic,0
0.35,350,0,7,0.03,43.0,synthetic,0
0.38,0,500,28,0.18,27.12,synthetic,1
0.36,0,400,56,0.02,55.55,synthetic,1
0.53,500,0,7,0.14,50.19,synthetic,0
0.38,500,0,56,0.12,48.44,synthetic,0
0.35,0,350,7,0.07,63.12,synthetic,1
0.51,0,400,28,0.08,35.77,synthetic,1
0.35,0,350,7,0.06,37.98,synthetic,1
0.44,500,0,56,0.07,46.54,synthetic,0
0.45,350,0,56,0.16,21.32,synthetic,0
0.43,400,0,56,0.07,53.23,synthetic,0
0.51,400,0,7,0.05,46.58,synthetic,0
0.35,400,0,28,0.05,42.85,synthetic,0
0.42,500,0,7,0.19,37.32,synthetic,0
0.54,350,0,7,0.0,39.09,synthetic,0
0.35,500,0,56,0.0,63.12,synthetic,0
0.35,0,350,28,0.1,49.09,synthetic,1
0.43,0,400,7,0.15,28.42,synthetic,1
0.51,400,0,7,0.03,38.49,synthetic,0
0.54,500,0,56,0.16,27.81,synthetic,0
0.55,0,500,56,0.07,20.86,synthetic,1
0.51,350,0,56,0.03,24.5,synthetic,0
0.43,500,0,56,0.14,41.86,synthetic,0
0.52,500,0,7,0.03,19.8,synthetic,0
0.35,400,0,56,0.07,33.82,synthetic,0
0.37,0,400,56,0.07,38.43,synthetic,1
0.55,350,0,56,0.2,27.65,synthetic,0
0.51,350,0,56,0.2,44.24,synthetic,0
0.51,500,0,56,0.05,30.26,synthetic,0
0.35,400,0,7,0.08,63.12,synthetic,0
0.43,0,350,28,0.0,47.0,synthetic,1
0.45,500,0,7,0.12,63.12,synthetic,0
0.35,0,500,56,0.05,53.38,synthetic,1
0.54,0,350,28,0.02,51.19,synthetic,1
0.36,500,0,7,0.0,40.54,synthetic,0
0.35,0,350,7,0.1,51.22,synthetic,1
0.52,0,400,7,0.1,55.4,synthetic,1
0.37,350,0,28,0.03,62.71,synthetic,0
0.51,0,400,28,0.04,52.24,synthetic,1
0.35,0,400,28,0.17,45.94,synthetic,1
0.35,0,500,56,0.14,59.26,synthetic,1
0.45,0,500,28,0.0,49.04,synthetic,1
0.55,0,350,56,0.12,63.12,synthetic,1
0.35,400,0,56,0.2,29.11,synthetic,0
0.43,500,0,7,0.07,33.16,synthetic,0
0.43,350,0,7,0.04,40.57,synthetic,0
0.36,500,0,28,0.18,50.4,synthetic,0
0.44,500,0,7,0.08,24.02,synthetic,0
0.43,0,400,7,0.19,47.63,synthetic,1
0.47,500,0,56,0.2,42.99,synthetic,0
0.35,0,350,7,0.17,63.12,synthetic,1
0.54,0,400,7,0.1,24.26,synthetic,1
0.43,0,400,56,0.08,43.74,synthetic,1
0.45,0,500,7,0.02,50.2,synthetic,1
0.55,0,500,56,0.1,51.26,synthetic,1
0.35,0,400,7,0.03,43.15,synthetic,1
0.53,0,350,7,0.1,24.83,synthetic,1
0.35,500,0,7,0.14,49.36,synthetic,0
0.35,400,0,28,0.13,42.97,synthetic,0
0.44,350,0,7,0.09,33.07,synthetic,0
0.55,0,500,7,0.1,63.12,synthetic,1
0.53,0,500,56,0.13,44.07,synthetic,1
0.35,500,0,56,0.07,52.42,synthetic,0
0.55,400,0,28,0.0,55.2,synthetic,0
0.35,500,0,56,0.03,41.84,synthetic,0
0.35,500,0,28,0.03,22.01,synthetic,0
0.45,500,0,28,0.06,37.86,synthetic,0
0.35,500,0,56,0.06,50.26,synthetic,0
0.54,350,0,7,0.17,63.12,synthetic,0
0.35,0,500,7,0.06,44.95,synthetic,1
0.52,400,0,28,0.09,54.51,synthetic,0
0.44,350,0,56,0.14,34.99,synthetic,0
0.37,350,0,28,0.2,24.62,synthetic,0
0.36,400,0,56,0.08,47.83,synthetic,0
0.43,0,400,28,0.01,43.25,synthetic,1
0.37,0,400,56,0.1,33.98,synthetic,1
0.47,500,0,28,0.07,63.12,synthetic,0
0.52,400,0,7,0.09,43.93,synthetic,0
